CRN,Subj,Crse,Sec,Type,Title,Days,Time,Instructor,Location
110,ANSC,433,001,Lecture,Animal Nutrition and Metabolism.,WF,02:35 pm-03:55 pm,Sergio Alejandro  Burgos,BARTON 1-015
111,ANSC,433,002,Laboratory,Animal Nutrition and Metabolism.,W,10:05 am-11:55 am,Sergio Alejandro  Burgos,MACSTW 2-028
408,ANSC,451,001,Lecture,Dairy and Beef Production Management.,WF,04:05 pm-05:25 pm,"Raj   Duggavathi , Sergio Alejandro  Burgos",BARTON 1-015
409,ANSC,451,002,Laboratory,Dairy and Beef Production Management.,M,02:35 pm-05:25 pm,"Raj   Duggavathi , Sergio Alejandro  Burgos",RAYMND 4-046/048
820,ANSC,555,001,Lecture,The Use and Welfare of Animals.,WF,08:35 am-09:55 am,Elsa   Vasseur,RAYMND 4-046/048
392,ANSC,565,001,Lecture,Applied Information Systems.,MW,04:05 pm-05:25 pm,Kevin   Wade,RAYMND 3-045
506,ANSC,600,001,Lecture,Advanced Eukaryotic Cells and Viruses.,TR,01:05 pm-02:25 pm,Alexander  Dr Bekele-Yitbarek,CENTEN 1-163
118,ANSC,695,001,Seminar,MSc General Topic Seminar.,R,10:05 am-11:25 am,Kevin   Wade,RAYMND 3-045
119,ANSC,696,001,Seminar,MSc Research Proposal Seminar.,R,10:05 am-11:25 am,Kevin   Wade,RAYMND 3-045
121,ANSC,797,001,Seminar,Animal Science Seminar 3.,R,10:05 am-11:25 am,Kevin   Wade,RAYMND 3-045
122,ANSC,798,001,Seminar,Animal Science Seminar 4.,R,10:05 am-11:25 am,Kevin   Wade,RAYMND 3-045
7050,ANTH,202,001,Lecture,Socio-Cultural Anthropology.,MWF,09:35 am-10:25 am,Alonso Alonso  Gamarra Montesinos,LEA 26
1081,ANTH,206,001,Lecture,Environment and Culture.,TR,11:35 am-12:55 pm,Daniel   Ruiz-Serna,MAASS 112
1082,ANTH,209,001,Lecture,Anthropology of Religion.,TR,04:05 pm-05:25 pm,Hillary Diane   Kaell,STBIO S1/4
1083,ANTH,210,001,Lecture,Archaeology of Early Cities.,TR,10:05 am-11:25 am,Peter   Johansen,LEA 26
6730,ANTH,213,001,Lecture,Archaeology of Health and Disease.,TR,02:35 pm-03:55 pm,Alyssa   Bader,LEA 26
1084,ANTH,214,001,Lecture,"Violence, Warfare, Culture.",MWF,09:35 am-10:25 am,TBA,TBA
1085,ANTH,222,001,Lecture,Legal Anthropology.,MW,04:05 pm-05:25 pm,TBA,SADB M-1
1086,ANTH,303,001,Lecture,Ethnographies of Post-socialism.,TR,02:35 pm-03:55 pm,TBA,TBA
1087,ANTH,314,001,Lecture,Psychological Anthropology 01.,TR,11:35 am-12:55 pm,Samuele   Collu,ENGMC 11
1088,ANTH,322,001,Lecture,Social Change in Modern Africa.,MW,02:35 pm-03:55 pm,John   Galaty,RPHYS 118
1089,ANTH,326,001,Lecture,Anthropology of Latin America.,TR,04:05 pm-05:25 pm,Daniel   Ruiz-Serna,ENGMD 276
1090,ANTH,327,001,Lecture,Anthropology of South Asia.,TR,02:35 pm-03:55 pm,TBA,RPHYS 118
1091,ANTH,338,001,Lecture,Indigenous Studies of Anthropology.,TR,02:35 pm-03:55 pm,Leslie James   Sabiston,ENGTR 0100
1092,ANTH,339,001,Lecture,Ecological Anthropology.,TR,01:05 pm-02:25 pm,Colin H   Scott,LEA 219
1093,ANTH,343,001,Lecture,Anthropology and the Animal.,MW,08:35 am-09:55 am,TBA,TBA
1094,ANTH,355,001,Lecture,Theories of Culture and Society.,MW,10:05 am-11:25 am,Jasmine Clotilde  Pisapia,ENGMD 279
1095,ANTH,359,001,Lecture,History of Archaeological Theory.,TR,10:05 am-11:25 am,Nicole Claire  Couture,EDUC 338
1098,ANTH,412,001,Seminar,Topics: Anthropological Theory.,R,02:35 pm-05:25 pm,Samuele   Collu,TBA
1099,ANTH,413,001,Seminar,Gender in Archaeology.,TR,04:05 pm-05:25 pm,Nicole Claire  Couture,LEA 834
1100,ANTH,418,001,Seminar,Environment and Development.,F,02:35 pm-05:25 pm,John   Galaty,ARTS W-5
1101,ANTH,432,001,Seminar,The Aztecs.,M,02:35 pm-05:25 pm,Lisa   Overholtzer,FERR 476
1102,ANTH,480,001,Reading Course,Topic: War&the-more-than human,W,08:35 am-11:25 am,Daniel   Ruiz-Serna,LEA 808
1107,ANTH,510,001,Seminar,Advanced Problems in Anthropology of Religion.,T,08:35 am-11:25 am,Katherine   Lemons,TBA
1108,ANTH,513,001,Seminar,The Poetry of Anthropology.,R,11:35 am-02:25 pm,Setrag   Manoukian,LEA 834
1109,ANTH,540,001,Lecture,Topics in Anthropological Theory.,F,02:35 pm-05:25 pm,TBA,LEA 721
1110,ANTH,551,001,Seminar,Advanced Topics: Archaeological Research.,F,08:35 am-11:25 am,Alyssa   Bader,LEA 617
1111,ANTH,555,001,Seminar,Topic:Audio Ethnology-Thry&Pra,W,02:35 pm-05:25 pm,Nicholas  Dr Wees,TBA
1112,ANTH,603,001,Lecture,Theory 2.,M,08:35 am-11:25 am,Sandra Teresa  Hyde,LEA 808
6873,ANTH,609D2,001,Seminar,Proseminar in Anthropology.,M,12:35 pm-02:25 pm,Peter   Johansen,LEA 738
1113,ANTH,615,001,Seminar,Seminar in Medical Anthropology.,T,11:35 am-02:25 pm,Todd Eugene  Meyers,LEA 834
1114,ANTH,632,001,Seminar,Central Mexican Archaeology and Ethnohistory.,M,02:35 pm-05:25 pm,Lisa   Overholtzer,FERR 476
1115,ANTH,648,001,Lecture,Structural Anthropology.,W,08:35 am-11:25 am,Colin H   Scott,LEA 819
1126,ARCH,202,001,Lecture,Architectural Graphics and Elements of Design.,TR,01:35 pm-02:25 pm,"Theodora   Vardouli , Alan Dunyo  Avorgbedor , Vedanta   Balbahadur",MDHAR 212
1127,ARCH,202,002,Studio,Architectural Graphics and Elements of Design.,TR,02:35 pm-04:55 pm,"Theodora   Vardouli , Alan Dunyo  Avorgbedor , Vedanta   Balbahadur",MDHAR 115
1128,ARCH,240,001,Lecture,Organization of Materials in Buildings.,M,02:35 pm-05:25 pm,Marc-AndrÃ©   Plourde,MDHAR 212
1129,ARCH,240,002,Lecture,Organization of Materials in Buildings.,M,02:35 pm-05:25 pm,Marc-AndrÃ©   Plourde,MDHAR 212
1130,ARCH,240,003,Studio,Organization of Materials in Buildings.,M,12:35 pm-01:25 pm,Marc-AndrÃ©   Plourde,MDHAR 101
1131,ARCH,240,004,Studio,Organization of Materials in Buildings.,M,12:35 pm-01:25 pm,TBA,MDHAR 102
1132,ARCH,241,001,Lecture,Architectural Structures 1.,MW,10:35 am-11:55 am,Thomas   Egli,MDHAR 212
1133,ARCH,241,002,Tutorial,Architectural Structures 1.,F,11:35 am-12:25 pm,Thomas   Egli,MDHAR 212
1134,ARCH,251,001,Lecture,Architectural History 2.,F,12:35 pm-02:25 pm,Annmarie   Adams,MDHAR 212
1135,ARCH,251,002,Seminar,Architectural History 2.,W,08:35 am-09:25 am,TBA,MDHAR G-01
1136,ARCH,251,003,Seminar,Architectural History 2.,W,09:35 am-10:25 am,TBA,MDHAR G-01
1137,ARCH,251,004,Lecture,Architectural History 2.,F,12:35 pm-02:25 pm,Annmarie   Adams,MDHAR 212
1138,ARCH,251,005,Seminar,Architectural History 2.,W,08:35 am-09:25 am,TBA,MDHAR G-01
1139,ARCH,251,006,Seminar,Architectural History 2.,W,09:35 am-10:25 am,TBA,MDHAR G-01
1140,ARCH,304,001,Lecture,Design and Construction 2.,TR,10:35 am-11:25 am,Martin   Bressani,MDHAR 212
1141,ARCH,304,002,Lecture,Design and Construction 2.,TR,11:35 am-12:25 pm,Daniela   Leon,MDHAR 212
1142,ARCH,304,003,Lecture,Design and Construction 2.,TR,10:05 am-10:55 am,TBA,MDHAR 207
1143,ARCH,304,004,Studio,Design and Construction 2.,TR,09:35 am-10:25 am,Martin   Bressani,MDHAR 214
1144,ARCH,304,005,Studio,Design and Construction 2.,TR,09:35 am-11:25 am,Daniela   Leon,MDHAR 214
1145,ARCH,304,006,Studio,Design and Construction 2.,TR,11:05 am-12:25 pm,TBA,MDHAR 214
1146,ARCH,342,001,Lecture,Digital Representation.,T,08:35 am-10:25 am,Sharon   Kim,MDHAR 212
1147,ARCH,342,002,Tutorial,Digital Representation.,R,08:35 am-09:25 am,Sharon   Kim,MDHAR 212
1148,ARCH,355,001,Lecture,Architectural History 4.,M,12:35 pm-02:25 pm,Alan Dunyo  Avorgbedor,MDHAR 212
1150,ARCH,355,003,Seminar,Architectural History 4.,W,12:35 pm-01:25 pm,Alan Dunyo  Avorgbedor,MDHAR 212
7067,ARCH,355,004,Seminar,Architectural History 4.,W,01:35 pm-02:25 pm,Alan Dunyo  Avorgbedor,MDHAR 212
1151,ARCH,406,001,Lecture,Design and Construction 4.,TR,03:35 pm-04:25 pm,Evelyne   Bouchard,MDHAR 212
1152,ARCH,406,002,Lecture,Design and Construction 4.,TR,01:35 pm-02:25 pm,Avi   Friedman,MDHAR 207
1153,ARCH,406,003,Lecture,Design and Construction 4.,TR,04:35 pm-05:25 pm,Sybil   McKenna,MDHAR 212
1154,ARCH,406,004,Studio,Design and Construction 4.,TR,10:05 am-12:25 pm,Evelyne   Bouchard,MDHAR 312
1155,ARCH,406,005,Studio,Design and Construction 4.,TR,09:05 am-12:25 pm,Avi   Friedman,MDHAR 312
1156,ARCH,406,006,Studio,Design and Construction 4.,TR,10:05 am-12:25 pm,Sybil   McKenna,MDHAR 314
1157,ARCH,406,007,Lecture,Design and Construction 4.,TR,02:35 pm-03:25 pm,TBA,MDHAR 207
1158,ARCH,406,008,Studio,Design and Construction 4.,TR,10:05 am-12:25 pm,TBA,MDHAR 314
1160,ARCH,451,001,Lecture,Building Regulations and Safety.,F,08:35 am-11:25 am,Marc-AndrÃ©   Plourde,MDHAR 212
1161,ARCH,451,002,Lecture,Building Regulations and Safety.,F,08:35 am-11:25 am,Marc-AndrÃ©   Plourde,MDHAR 212
1162,ARCH,528,001,Lecture,History of Housing.,F,02:35 pm-04:25 pm,TBA,ENGTR 1080
1163,ARCH,528,002,Lecture,History of Housing.,F,02:35 pm-04:25 pm,TBA,ENGTR 1080
1164,ARCH,528,003,Lecture,History of Housing.,F,02:35 pm-04:25 pm,TBA,ENGTR 1080
1165,ARCH,536,001,Lecture,Heritage Conservation.,W,11:35 am-02:25 pm,Julia   Gersovitz,MDHAR 420
1166,ARCH,536,002,Lecture,Heritage Conservation.,W,11:35 am-02:25 pm,Julia   Gersovitz,MDHAR 420
1167,ARCH,536,003,Lecture,Heritage Conservation.,W,11:35 am-02:25 pm,Julia   Gersovitz,MDHAR 420
1169,ARCH,540,002,Topics Course,Selected Topics in Architecture 1.,M,11:35 am-01:25 pm,Ricardo L   Castro,MDHAR 207
1172,ARCH,541,003,Topics Course,Selected Topics in Architecture 2.,W,08:35 am-11:25 am,TBA,MDHAR 207
1173,ARCH,542,001,Seminar,Selected Topics in Architecture 3.,F,10:35 am-01:25 pm,Aysenur Ipek  TÃ¼reli,MDHAR 206
1174,ARCH,543,001,Seminar,Selected Topics in Architecture 4.,M,08:35 am-11:25 am,Ewan   Branda,MDHAR 207
1175,ARCH,551,001,Lecture,Urban Design and Planning.,WF,02:35 pm-03:55 pm,Nicholas James  Luka,BIRKS 203
7105,ARCH,562,001,Lecture,Innovative Homes and Communities.,W,02:35 pm-03:25 pm,Avi   Friedman,MDHAR 212
1176,ARCH,641,001,Lecture,Energy and Environments 1.,M,11:35 am-02:25 pm,Salmaan   Craig,MDHAR 420
1177,ARCH,641,002,Lecture,Energy and Environments 1.,M,11:35 am-02:25 pm,Salmaan   Craig,MDHAR 420
1178,ARCH,642,001,Lecture,Energy and Environments 2.,F,02:35 pm-05:25 pm,Naomi  Dr Keena,MDHAR 207
1179,ARCH,673,001,Studio,Architectural Design Studio 2.,TR,09:05 am-12:25 pm,Howard   Davies,MDHAR 514
1180,ARCH,673,002,Studio,Architectural Design Studio 2.,TR,09:05 am-12:25 pm,Morgan Macleod  Carter,MDHAR 512
1181,ARCH,673,003,Studio,Architectural Design Studio 2.,TR,09:05 am-12:25 pm,"Shane   Laptiste , Rebecca   Taylor",MDHAR 508
1182,ARCH,674,001,Lecture,Professional Practice 1.,F,02:35 pm-05:25 pm,Marc-AndrÃ©   Plourde,MDHAR 212
1183,ARCH,674,002,Lecture,Professional Practice 1.,F,02:35 pm-05:25 pm,Marc-AndrÃ©   Plourde,MDHAR 212
1184,ARCH,674,003,Lecture,Professional Practice 1.,F,02:35 pm-05:25 pm,Marc-AndrÃ©   Plourde,MDHAR 212
1185,ARCH,675,001,Lecture,Architecture in Global Perspective.,W,09:35 am-12:25 pm,Aysenur Ipek  TÃ¼reli,MDHAR 206
1186,ARCH,683,001,Studio,Directed Research Project.,TR,09:35 am-12:25 pm,"Michael   Jemtrud , Andrew John  King",MDHAR 215
1187,ARCH,685,001,Seminar,Contemporary Theory 2.,F,11:35 am-02:25 pm,Theodora   Vardouli,MDHAR 207
6741,ARTE,700,001,Seminar,Seminar: Teaching Humanities.,M,11:05 am-01:55 pm,Stephanie   Leary,LEA 520
